Symbol,LTP,%Change,Open,High,Low,Qty.,PClose,Diff.
SLBSL,"1,220.00",0,"1,180.00","1,230.00","1,180.00","1,475","1,220.00",0
SLCF,10.09,0.8,10.00,10.09,9.80,"10,300",10.01,0.08
SMATA,753.30,-0.49,750.20,763.90,749.00,"3,523",757.00,-3.7
SMB,"1,959.00",5.89,"1,850.00","2,041.90","1,850.00","12,201","1,850.00",109
SMFBS,"1,525.00",-0.67,"1,501.20","1,525.00","1,500.00",258,"1,535.30",-10.3
SMH,562.00,0.36,560.00,562.00,554.00,"4,092",560.00,2
SMHL,475.00,-1.25,475.00,488.00,470.70,"24,205",481.00,-6
SMJC,455.00,-1.09,437.00,463.00,437.00,"20,456",460.00,-5
SMPDA,812.00,-0.85,801.00,823.00,801.00,964,819.00,-7
SNLI,439.30,-0.5,441.60,442.00,435.00,"14,283",441.50,-2.2
SOHL,617.00,-2.28,631.00,632.00,607.00,"105,967",631.40,-14.4
SONA,424.00,0.71,421.00,424.00,416.00,"18,897",421.00,3
SOPL,988.40,-5.05,"1,041.00","1,041.00",981.10,"172,660","1,041.00",-52.6
SPC,438.00,-1.57,438.00,448.00,435.00,"6,831",445.00,-7
SPDL,373.90,-1.61,399.00,399.00,365.10,"46,128",380.00,-6.1
SPHL,581.00,0.17,551.00,581.70,535.00,"18,082",580.00,1
SPIL,708.90,-0.2,694.10,713.90,694.10,"2,230",710.30,-1.4
SPL,679.00,-1.45,671.00,679.00,651.00,"1,900",689.00,-10
SRLI,385.90,-0.52,388.00,388.00,382.30,"22,186",387.90,-2
SSHL,200.00,-1.48,203.00,205.70,199.30,"160,577",203.00,-3
STC,"5,250.00",-2.05,"5,261.00","5,261.00","5,112.00",289,"5,360.00",-110
SWASTIK,"2,200.00",-2.44,"2,321.90","2,321.90","2,170.00",864,"2,255.00",-55
SWBBL,710.00,-2.87,731.00,731.00,708.50,"23,699",731.00,-21
SWMF,649.80,0.12,649.00,655.00,643.00,"3,827",649.00,0.8
SYPNL,"1,399.90",1.44,"1,311.00","1,399.90","1,311.00","45,410","1,380.00",19.9
TAMOR,444.70,-1.13,449.00,453.00,442.90,"29,611",449.80,-5.1
TPC,358.00,-1.65,382.20,382.20,355.00,"26,103",364.00,-6
TPKHL,456.20,15,408.60,456.20,408.60,240,396.70,59.5
TRH,760.70,-0.96,761.50,770.00,760.00,"2,586",768.10,-7.4
TSHL,503.00,-1.18,501.00,510.00,500.00,"2,662",509.00,-6
TTL,756.00,-1.69,767.00,789.90,737.00,"15,947",769.00,-13
TVCL,484.10,-1.24,487.00,496.00,481.00,"5,597",490.20,-6.1
UAIL,462.00,0,456.00,466.00,456.00,"9,730",462.00,0
UHEWA,620.00,-1.74,630.00,630.00,600.00,"40,623",631.00,-11
ULBSL,"2,830.00",0.71,"2,805.00","2,830.00","2,800.00",550,"2,810.00",20
ULHC,414.00,-1.9,412.00,415.00,403.20,"6,973",422.00,-8
UMHL,591.00,-1.83,581.00,603.40,581.00,"199,398",602.00,-11
UMRH,532.00,-0.37,533.00,533.00,524.50,"5,971",534.00,-2
UNHPL,397.00,-0.75,380.00,403.00,380.00,"27,215",400.00,-3
UNL,"47,000.00",0,"47,000.00","47,000.00","47,000.00",80,"47,000.00",0
UNLB,"1,350.30",-0.71,"1,327.10","1,353.60","1,300.00",265,"1,360.00",-9.7
UPCL,352.10,0.03,335.00,360.00,335.00,"40,943",352.00,0.1
UPPER,194.10,-0.97,187.00,199.00,187.00,"75,504",196.00,-1.9
USHEC,488.00,-0.93,485.00,499.50,485.00,"5,125",492.60,-4.6
USHL,564.00,-2.25,549.00,595.00,549.00,"3,557",577.00,-13
USLB,"1,300.00",-1.14,"1,322.00","1,325.00","1,290.00","2,925","1,315.00",-15
VLBS,705.00,-0.7,702.20,710.00,700.00,"3,609",710.00,-5
VLUCL,473.00,-0.42,474.00,474.00,460.00,"2,795",475.00,-2
WNLB,"1,390.00",0,"1,350.10","1,390.00","1,350.00",83,"1,390.00",0
YMHL,456.20,15,408.60,456.20,408.60,190,396.70,59.5
